Lacto-N-biose-e0,0,C14H25NO11
Maltotridecaose-e0,0,C78H132O66
H2O-e0,1,H2O
Maltooctaose-e0,0,C48H82O41
Maltohexaose-e0,0,C36H62O31
Maltoundecaose-e0,0,C66H112O56
"starch (n=27, 3xalpha1-6, 23xalpha1-4)-e0",0,C162H272O136
"starch (n=19, 3xalpha1-6, 15xalpha1-4)-e0",0,C114H192O96
Cholate-e0,1,C24H39O5
3-dehydrocholate-e0,0,C24H37O5
Cellulose-e0,0,C6H10O5
Cellotetraose-e0,0,C24H42O21
CO2-e0,1,CO2
O2-e0,1,O2
5-Methylthio-D-ribose-e0,0,C6H12O4S
"(R)-1,2-Propanediol-e0",0,C3H8O2
"1,2-Propanediol-e0",0,C3H8O2
Acetaldehyde-e0,1,C2H4O
HCN-e0,0,CHN
DMSO-e0,0,C2H6OS
Methyl sulfide-e0,0,C2H6S
Ethanol-e0,1,C2H6O
Formaldehyde-e0,1,CH2O
D-Glyceraldehyde-e0,1,C3H6O3
H2O2-e0,0,H2O2
H2S-e0,0,HS
indol-e0,0,C8H7N
Nitrous oxide-e0,0,N2O
NO-e0,0,NO
Propanal-e0,0,C3H6O
(CH3)3NO-e0,0,C3H9NO
Methane-e0,0,CH4
CO-e0,0,CHO
N2-e0,0,N2
ACTN-e0,0,C4H8O2
BDOH-e0,0,C4H10O2
hn-e0,0,Z
n-Butanol-e0,0,C4H10O
Acetone-e0,0,C3H6O
"1,3-Propanediol-e0",0,C3H8O2
Stachyose,1,C24H42O21
Melitose,0,C18H32O16
Starch,0,C36H62O31
Pectin,0,C26H36O24
Folate,1,C19H17N7O6
Niacin,0,C6H4NO2
Pyridoxal,1,C8H9NO3
L-Ascorbate,0,C6H7O6
Gamma-Tocopherol,0,C28H48O2
Vitamin K1,0,C31H46O2
Arsenate,0,HAsO4
NAD-e0-e0,0,C21H26N7O14P2
Agmatine-e0-e0,0,C5H16N4
